id,Gender,Customer_Type,Age,Age_Category,Type_of_Travel,Class,Flight_Distance,Flight_Distance_Category,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Departure_Delay_Category,Arrival_Delay_in_Minutes,Satisfaction
19556,Female,Loyal Customer,52,Adolescent,Business travel,Eco,160,Short-Haul,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,Moderate Delay,44,satisfied
90035,Female,Loyal Customer,36,Adolescent,Business travel,Business,2863,Long-Haul,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,Minor Delay,0,satisfied
12360,Male,Disloyal Customer,20,Adolescent,Business travel,Eco,192,Short-Haul,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,Minor Delay,0,neutral or dissatisfied
77959,Male,Loyal Customer,44,Adolescent,Business travel,Business,3377,Long-Haul,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,Minor Delay,6,satisfied
36875,Female,Loyal Customer,49,Adolescent,Business travel,Eco,1182,Short-Haul,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,Minor Delay,20,satisfied
39177,Male,Loyal Customer,16,Children,Business travel,Eco,311,Short-Haul,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,Minor Delay,0,satisfied
79433,Female,Loyal Customer,77,Old,Business travel,Business,3987,Long-Haul,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,Minor Delay,0,satisfied
97286,Female,Loyal Customer,43,Adolescent,Business travel,Business,2556,Long-Haul,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,Severe Delay,65,satisfied
27508,Male,Loyal Customer,47,Adolescent,Business travel,Eco,556,Short-Haul,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,Minor Delay,0,satisfied
62482,Female,Loyal Customer,46,Adolescent,Business travel,Business,1744,Long-Haul,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,Minor Delay,14,satisfied
47583,Female,Loyal Customer,47,Adolescent,Business travel,Eco,1235,Short-Haul,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,Minor Delay,19,satisfied
115550,Female,Loyal Customer,33,Adolescent,Business travel,Business,325,Short-Haul,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,Minor Delay,7,neutral or dissatisfied
119987,Female,Loyal Customer,46,Adolescent,Business travel,Business,1009,Short-Haul,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,Minor Delay,0,satisfied
42141,Female,Loyal Customer,60,Old,Business travel,Business,451,Short-Haul,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,Severe Delay,113,satisfied
2274,Female,Loyal Customer,52,Adolescent,Business travel,Business,925,Short-Haul,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,Minor Delay,0,satisfied
22470,Male,Loyal Customer,50,Adolescent,Personal Travel,Eco,83,Short-Haul,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,Minor Delay,2,neutral or dissatisfied
124915,Female,Loyal Customer,31,Adolescent,Business travel,Eco,728,Short-Haul,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,Minor Delay,0,neutral or dissatisfied
17836,Male,Loyal Customer,52,Adolescent,Personal Travel,Eco Plus,1075,Short-Haul,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,Minor Delay,0,satisfied
76872,Female,Loyal Customer,43,Adolescent,Personal Travel,Eco,1927,Long-Haul,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,Minor Delay,0,neutral or dissatisfied
64287,Female,Loyal Customer,50,Adolescent,Business travel,Business,3799,Long-Haul,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,Minor Delay,0,satisfied
63995,Male,Loyal Customer,60,Old,Business travel,Business,612,Short-Haul,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,Minor Delay,49,satisfied
75855,Male,Loyal Customer,43,Adolescent,Personal Travel,Eco,1437,Short-Haul,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,Minor Delay,0,neutral or dissatisfied
106181,Male,Loyal Customer,55,Adolescent,Personal Travel,Eco,302,Short-Haul,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,Minor Delay,0,neutral or dissatisfied
44304,Male,Loyal Customer,25,Adolescent,Business travel,Business,1428,Short-Haul,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,Minor Delay,0,satisfied
82602,Female,Disloyal Customer,30,Adolescent,Business travel,Eco,528,Short-Haul,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,Minor Delay,0,neutral or dissatisfied
