Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Flat Pandan Indah,3,1,"158,000",Below 250K,-,"Parking, Playground, Minimart, Jogging Track",Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,jalan pandan indah 3/3,Selangor,Selangor
Damansara PJ New Condo,1,1,"200,200",Below 250K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bandar Utama,Petaling Jaya,Selangor
Damansara PJ New Condo,3,2,"380,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bandar Utama,Petaling Jaya,Selangor
Batu Kawan New Condominium,2,2,"350,000",Below 500K,-,"Parking, Security, Swimming Pool, Playground, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",Freehold,-,-,-,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Batu Kawan,Penang,Penang
"Luxury Condo at Bayan Lepas, Near to Airport, FTZ",3,2,"410,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Jogging Track, Barbeque area",Freehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bayan Lepas,Penang,Penang
Bayan Lepas New Condominium Near to Airport,3,2,"415,000",Below 500K,-,"Parking, Security, Lift, Gymnasium, Club house, Jogging Track, Barbeque area, Playground, Swimming Pool",Freehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Bayan Lepas,Penang,Penang
Apartment cempaka bukit beruntung,3,2,"99,000",Below 250K,-,-,Leasehold,-,-,-,2,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Block F,Selangor,Selangor
"lake point residence , landed ,cyerjaya",6,5,"1,095,000",Above 1M,-,"Parking, Playground, Barbeque area, Jogging Track, Security",Freehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan LPR 5,Selangor,Selangor
Damansara PJ New Condo,3,2,"380,300",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,2,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Damansara Jaya,Petaling Jaya,Selangor
Damansara PJ New Condo,1,1,"200,500",Below 250K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Damansara Jaya,Petaling Jaya,Selangor
